region,year,sector,value,country
,2010,GDP,"500000000,00",DMA
,2017,GDP,"600000000,00",DMA
,2010,Agriculture,"55000000,00",DMA
,2017,Agriculture,"96000000,00",DMA
,2010,Industry,"60000000,00",DMA
,2017,Industry,"72000000,00",DMA
,2010,Manufacturing,"10000000,00",DMA
,2017,Manufacturing,"12000000,00",DMA
,2010,Services(value added),"301500000,00",DMA
,2017,Services(value added),"348000000,00",DMA
,2010,GDP,"54000000000,00",DOM
,2017,GDP,"75900000000,00",DOM
,2010,Agriculture,"3240000000,00",DOM
,2017,Agriculture,"4554000000,00",DOM
,2010,Industry,"14040000000,00",DOM
,2017,Industry,"18975000000,00",DOM
,2010,Manufacturing,"8100000000,00",DOM
,2017,Manufacturing,"9867000000,00",DOM
,2010,Services(value added),"33156000000,00",DOM
,2017,Services(value added),"47058000000,00",DOM
,2010,GDP,"69600000000,00",ECU
,2017,GDP,"103100000000,00",ECU
,2010,Agriculture,"6960000000,00",ECU
,2017,Agriculture,"9279000000,00",ECU
,2010,Industry,"24360000000,00",ECU
,2017,Industry,"31961000000,00",ECU
,2010,Manufacturing,"7656000000,00",ECU
,2017,Manufacturing,"9279000000,00",ECU
,2010,Services(value added),"35565600000,00",ECU
,2017,Services(value added),"53715100000,00",ECU
,2010,GDP,"218900000000,00",EGY
,2017,GDP,"235400000000,00",EGY
,2010,Agriculture,"28457000000,00",EGY
,2017,Agriculture,"25894000000,00",EGY
,2010,Industry,"78804000000,00",EGY
,2017,Industry,"80036000000,00",EGY
,2010,Manufacturing,"35024000000,00",EGY
,2017,Manufacturing,"37664000000,00",EGY
,2010,Services(value added),"0,00",EGY
,2017,Services(value added),"0,00",EGY
,2010,GDP,"18400000000,00",SLV
,2017,GDP,"24800000000,00",SLV
,2010,Agriculture,"1288000000,00",SLV
,2017,Agriculture,"1488000000,00",SLV
,2010,Industry,"4600000000,00",SLV
,2017,Industry,"6200000000,00",SLV
,2010,Manufacturing,"2944000000,00",SLV
,2017,Manufacturing,"3968000000,00",SLV
,2010,Services(value added),"10948000000,00",SLV
,2017,Services(value added),"14880000000,00",SLV
,2010,GDP,"16300000000,00",GNQ
,2017,GDP,"12500000000,00",GNQ
,2010,Agriculture,"163000000,00",GNQ
,2017,Agriculture,"250000000,00",GNQ
,2010,Industry,"12225000000,00",GNQ
,2017,Industry,"7000000000,00",GNQ
,2010,Manufacturing,"3423000000,00",GNQ
,2017,Manufacturing,"3125000000,00",GNQ
,2010,Services(value added),"3895700000,00",GNQ
,2017,Services(value added),"5087500000,00",GNQ
,2010,GDP,"2100000000,00",ERI
,2017,GDP,"0,00",ERI
,2010,Agriculture,"294000000,00",ERI
,2017,Agriculture,"0,00",ERI
,2010,Industry,"462000000,00",ERI
,2017,Industry,"0,00",ERI
,2010,Manufacturing,"105000000,00",ERI
,2017,Manufacturing,"0,00",ERI
,2010,Services(value added),"0,00",ERI
,2017,Services(value added),"0,00",ERI
,2010,GDP,"19500000000,00",EST
,2017,GDP,"25900000000,00",EST
,2010,Agriculture,"585000000,00",EST
,2017,Agriculture,"518000000,00",EST
,2010,Industry,"4680000000,00",EST
,2017,Industry,"6216000000,00",EST
,2010,Manufacturing,"2730000000,00",EST
,2017,Manufacturing,"3367000000,00",EST
,2010,Services(value added),"11739000000,00",EST
,2017,Services(value added),"15643600000,00",EST
,2010,GDP,"29900000000,00",ETH
,2017,GDP,"80600000000,00",ETH
,2010,Agriculture,"12259000000,00",ETH
,2017,Agriculture,"27404000000,00",ETH
,2010,Industry,"2691000000,00",ETH
,2017,Industry,"18538000000,00",ETH
,2010,Manufacturing,"1196000000,00",ETH
,2017,Manufacturing,"4836000000,00",ETH
,2010,Services(value added),"12498200000,00",ETH
,2017,Services(value added),"29741400000,00",ETH
,2010,GDP,"2300000000,00",FRO
,2017,GDP,"2500000000,00",FRO
,2010,Agriculture,"0,00",FRO
,2017,Agriculture,"0,00",FRO
,2010,Industry,"0,00",FRO
,2017,Industry,"0,00",FRO
,2010,Manufacturing,"138000000,00",FRO
,2017,Manufacturing,"0,00",FRO
,2010,Services(value added),"0,00",FRO
,2017,Services(value added),"0,00",FRO
,2010,GDP,"3100000000,00",FJI
,2017,GDP,"5100000000,00",FJI
,2010,Agriculture,"279000000,00",FJI
,2017,Agriculture,"561000000,00",FJI
,2010,Industry,"527000000,00",FJI
,2017,Industry,"714000000,00",FJI
,2010,Manufacturing,"372000000,00",FJI
,2017,Manufacturing,"510000000,00",FJI
,2010,Services(value added),"1782500000,00",FJI
,2017,Services(value added),"2876400000,00",FJI
,2010,GDP,"247800000000,00",FIN
,2017,GDP,"251900000000,00",FIN
,2010,Agriculture,"4956000000,00",FIN
,2017,Agriculture,"5038000000,00",FIN
,2010,Industry,"64428000000,00",FIN
,2017,Industry,"60456000000,00",FIN
,2010,Manufacturing,"42126000000,00",FIN
,2017,Manufacturing,"37785000000,00",FIN
,2010,Services(value added),"145954200000,00",FIN
,2017,Services(value added),"151391900000,00",FIN
,2010,GDP,"2642600000000,00",FRA
,2017,GDP,"2582500000000,00",FRA
,2010,Agriculture,"52852000000,00",FRA
,2017,Agriculture,"51650000000,00",FRA
,2010,Industry,"475668000000,00",FRA
,2017,Industry,"439025000000,00",FRA
,2010,Manufacturing,"264260000000,00",FRA
,2017,Manufacturing,"258250000000,00",FRA
,2010,Services(value added),"1868318200000,00",FRA
,2017,Services(value added),"1812915000000,00",FRA
,2010,GDP,"0,00",PYF
,2017,GDP,"0,00",PYF
,2010,Agriculture,"0,00",PYF
