country,description,iso
Nicaragua,"coffee, beef, gold, sugar, peanuts, shrimp and lobster, tobacco, cigars, automobile wiring harnesses, textiles, apparel, cotton",NIC
Niger,"uranium ore, livestock, cowpeas, onions",NER
Nigeria,"petroleum and petroleum products 95%, cocoa, rubber",NGA
Niue,"canned coconut cream, copra, honey, vanilla, passion fruit products, pawpaws, root crops, limes, footballs, stamps, handicrafts",
Norfolk Island,"postage stamps, seeds of the Norfolk Island pine and Kentia palm, small quantities of avocados",
North Korea,"minerals, metallurgical products, manufactures (including armaments), textiles, agricultural and fishery products",PRK
Northern Mariana Islands,garments,MNP
Norway,"petroleum and petroleum products, machinery and equipment, metals, chemicals, ships, fish",NOR
Oman,"petroleum, reexports, fish, metals, textiles",OMN
Pakistan,"textiles (garments, bed linen, cotton cloth, yarn), rice, leather goods, sports goods, chemicals, manufactures, carpets and rugs",PAK
Palau,"shellfish, tuna, copra, garments",PLW
Panama,"gold, bananas, shrimp, sugar, iron and steel waste, pineapples, watermelons",PAN
Papua New Guinea,"oil, gold, copper ore, logs, palm oil, coffee, cocoa, crayfish, prawns",PNG
Paraguay,"soybeans, feed, cotton, meat, edible oils, wood, leather",PRY
Peru,"copper, gold, lead, zinc, tin, iron ore, molybdenum, silver; crude petroleum and petroleum products, natural gas; coffee, asparagus and other vegetables, fruit, apparel and textiles, fishmeal, fish, chemicals, fabricated metal products and machinery, alloys",PER
Philippines,"semiconductors and electronic products, transport equipment, garments, copper products, petroleum products, coconut oil, fruits",PHL
Pitcairn Islands,"fruits, vegetables, curios, stamps",
Poland,"machinery and transport equipment 37.8%, intermediate manufactured goods 23.7%, miscellaneous manufactured goods 17.1%, food and live animals 7.6%",POL
Portugal,"agricultural products, food products, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals",PRT
Puerto Rico,"chemicals, electronics, apparel, canned tuna, rum, beverage concentrates, medical equipment",PRI
Qatar,"liquefied natural gas (LNG), petroleum products, fertilizers, steel",QAT
Republic of Macedonia,"food, beverages, tobacco; textiles, miscellaneous manufactures, iron, steel; automotive parts",
Romania,"machinery and equipment, metals and metal products, textiles and footwear, chemicals, agricultural products, minerals and fuels",ROU
Russia,"petroleum and petroleum products, natural gas, metals, wood and wood products, chemicals, and a wide variety of civilian and military manufactures",RUS
Rwanda,"coffee, tea, hides, tin ore",RWA
Saint Helena,"fish (frozen, canned, and salt-dried skipjack, tuna), coffee, handicrafts",SHN
"Saint Helena, Ascension, and Tristan da Cunha","fish (frozen, canned, and salt-dried skipjack, tuna), coffee, handicrafts",
Saint Kitts and Nevis,"machinery, food, electronics, beverages, tobacco",KNA
Saint Lucia,"bananas 41%, clothing, cocoa, avacados, mangoes, coconut oil",LCA
Saint Pierre and Miquelon,"fish and fish products, soybeans, animal feed, mollusks and crustaceans, fox and mink pelts",SPM
Saint Vincent and the Grenadines,"bananas, eddoes and dasheen (taro), arrowroot starch; tennis racquets",VCT
Samoa,"fish, coconut oil and cream, copra, taro, automotive parts, garments, beer",WSM
San Marino,"building stone, lime, wood, chestnuts, wheat, wine, baked goods, hides, ceramics",SMR
Sao Tome and Principe,"cocoa 80%, copra, coffee, palm oil",
Saudi Arabia,petroleum and petroleum products 90%,SAU
Senegal,"fish, groundnuts (peanuts), petroleum products, phosphates, cotton",SEN
Serbia,"iron and steel, rubber, clothes, wheat, fruit and vegetables, nonferrous metals, electric appliances, metal products, weapons and ammunition, automobiles",SRB
Seychelles,"canned tuna, frozen fish, cinnamon bark, copra, petroleum products (reexports)",SYC
Sierra Leone,"diamonds, rutile, cocoa, coffee, fish",SLE
Singapore,"machinery and equipment (including electronics and telecommunications), pharmaceuticals and other chemicals, refined petroleum products",SGP
Slovakia,"machinery and electrical equipment 35.9%, vehicles 21%, base metals 11.3%, chemicals and minerals 8.1%, plastics 4.9%",SVK
Slovenia,"manufactured goods, machinery and transport equipment, chemicals, food",SVN
Solomon Islands,"timber, fish, copra, palm oil, cocoa",SLB
Somalia,"livestock, bananas, hides, fish, charcoal, scrap metal",SOM
South Africa,"gold, diamonds, platinum, other metals and minerals, machinery and equipment",ZAF
South Korea,"semiconductors, wireless telecommunications equipment, motor vehicles, computers, steel, ships, petrochemicals",KOR
Spain,"machinery, motor vehicles; foodstuffs, pharmaceuticals, medicines, other consumer goods",ESP
Sri Lanka,"textiles and apparel, tea and spices; rubber manufactures; precious stones; coconut products, fish",LKA
Sudan,"gold; oil and petroleum products; cotton, sesame, livestock, groundnuts, gum arabic, sugar",SDN
Suriname,"alumina, gold, crude oil, lumber, shrimp and fish, rice, bananas",SUR
Swaziland,"soft drink concentrates, sugar, wood pulp, cotton yarn, refrigerators, citrus and canned fruit",SWZ
Sweden,"machinery 35%, motor vehicles, paper products, pulp and wood, iron and steel products, chemicals",SWE
Switzerland,"machinery, chemicals, metals, watches, agricultural products",CHE
Syria,"crude oil, minerals, petroleum products, fruits and vegetables, cotton fiber, textiles, clothing, meat and live animals, wheat",SYR
Taiwan,"electronics, flat panels, machinery; metals; textiles, plastics, chemicals; optical, photographic, measuring, and medical instruments",TWN
Tajikistan,"aluminum, electricity, cotton, fruits, vegetable oil, textiles",TJK
Tanzania,"gold, coffee, cashew nuts, manufactures, cotton",TZA
Thailand,"electronics, computer parts, automobiles and parts, electrical appliances, machinery and equipment, textiles and footwear, fishery products, rice, rubber",THA
The Bahamas,"crawfish, aragonite, crude salt, polystyrene products",
The Gambia,"peanut products, fish, cotton lint, palm kernels",
Togo,"reexports, cotton, phosphates, coffee, cocoa",TGO
Tokelau,"stamps, copra, handicrafts",TKL
Tonga,"squash, fish, vanilla beans, root crops",TON
Trinidad and Tobago,"petroleum and petroleum products, liquefied natural gas, methanol, ammonia, urea, steel products, beverages, cereal and cereal products, sugar, cocoa, coffee, citrus fruit, vegetables, flowers",TTO
Tunisia,"clothing, semi-finished goods and textiles, agricultural products, mechanical goods, phosphates and chemicals, hydrocarbons, electrical equipment",TUN
Turkey,"apparel, foodstuffs, textiles, metal manufactures, transport equipment",TUR
Turkmenistan,"gas, crude oil, petrochemicals, textiles, cotton fiber",TKM
Turks and Caicos Islands,"lobster, dried and fresh conch, conch shells",TCA
Tuvalu,"copra, fish",TUV
Uganda,"coffee, fish and fish products, tea, cotton, flowers, horticultural products; gold",UGA
Ukraine,"ferrous and nonferrous metals, fuel and petroleum products, chemicals, machinery and transport equipment, food products",UKR
United Arab Emirates,"crude oil 45%, natural gas, reexports, dried fish, dates",ARE
United Kingdom,"manufactured goods, fuels, chemicals; food, beverages, tobacco",GBR
United States,"agricultural products (soybeans, fruit, corn) 9.2%, industrial supplies (organic chemicals) 26.8%, capital goods (transistors, aircraft, motor vehicle parts, computers, telecommunications equipment) 49.0%, consumer goods (automobiles, medicines) 15.0%",USA
Uruguay,"beef, soybeans, cellulose, rice, wheat, wood, dairy products; wool",URY
Uzbekistan,"energy products, cotton, gold, mineral fertilizers, ferrous and nonferrous metals, textiles, food products, machinery, automobiles",UZB
Vanuatu,"copra, beef, cocoa, timber, kava, coffee",VUT
Venezuela,"petroleum, bauxite and aluminum, minerals, chemicals, agricultural products, basic manufactures",VEN
Vietnam,"clothes, shoes, electronics, seafood, crude oil, rice, coffee, wooden products, machinery",VNM
Virgin Islands,refined petroleum products,
Wallis and Futuna,"copra, chemicals, construction materials",WLF
West Bank,"stone, olives, fruit, vegetables, limestone",
Western Sahara,phosphates 62%,ESH
Yemen,"crude oil, coffee, dried and salted fish, liquefied natural gas",YEM
Zambia,"copper/cobalt, cobalt, electricity; tobacco, flowers, cotton",ZMB
Zimbabwe,"platinum, cotton, tobacco, gold, ferroalloys, textiles/clothing",ZWE
