country_name,country_code,capital_city,note,capital_type,city_code,lat,lon,population,iso
Portugal,620,Lisboa (Lisbon),55,Capital,22167,38.71686,-9.139867,2868.856,PRT
Puerto Rico,630,San Juan,56,Capital,22177,18.46633,-66.10572,2466.219,PRI
Qatar,634,Ad-Dawhah (Doha),,Capital,22179,25.274724,51.524472,698.535,QAT
Republic of Korea,410,Seoul,57,Capital,21758,37.56826,126.97783,9775.377,
Republic of Moldova,498,ChiÅŸinÄƒu,,Capital,21885,47.00556,28.8575,720.681,
RÃ©union,638,Saint-Denis,,Capital,22180,-20.88231,55.4504,143.617,
Romania,642,Bucuresti (Bucharest),,Capital,22191,44.432787,26.104302,1871.518,ROU
Russian Federation,643,Moskva (Moscow),,Capital,22299,55.754996,37.621849,12062.731,
Rwanda,646,Kigali,,Capital,22404,-1.947364,30.057897,1222.571,RWA
Saint Helena,654,Jamestown,,Capital,22405,-15.93872,-5.71675,0.638,SHN
Saint Kitts and Nevis,659,Basseterre,,Capital,22406,17.29484,-62.7261,14.149,KNA
Saint Lucia,662,Castries,,Capital,22408,14.006021,-60.99096,22.186,LCA
Saint Pierre and Miquelon,666,Saint-Pierre,,Capital,22409,46.77375,-56.181465,5.459,SPM
Saint Vincent and the Grenadines,670,Kingstown,,Capital,22410,13.15872,-61.22475,27.314,VCT
Samoa,882,Apia,,Capital,23236,-13.83333,-171.76666,36.946,WSM
San Marino,674,San Marino,,Capital,22411,43.93333,12.45,4.197,SMR
Sao Tome and Principe,678,SÃ£o TomÃ©,,Capital,22412,0.33654,6.72732,71.294,
Saudi Arabia,682,Ar-Riyadh (Riyadh),,Capital,22432,24.690466,46.709566,6195.198,SAU
Senegal,686,Dakar,,Capital,22439,14.6937,-17.44406,3392.848,SEN
Serbia,688,Beograd (Belgrade),58,Capital,23241,44.817649,20.463309,1180.795,SRB
Seychelles,690,Victoria,,Capital,22444,-4.61667,55.45,26.062,SYC
Sierra Leone,694,Freetown,,Capital,22445,8.484,-13.22994,985.902,SLE
Singapore,702,Singapore,,Capital,22447,1.28967,103.85007,5517.102,SGP
Sint Maarten (Dutch part),534,Philipsburg,59,Capital,206154,18.026,-63.04582,46.085,
Slovakia,703,Bratislava,,Capital,22448,48.14816,17.10674,403.212,SVK
Slovenia,705,Ljubljana,,Capital,22474,46.05108,14.50513,278.903,SVN
Solomon Islands,90,Honiara,,Capital,20311,-9.43333,159.95,73.302,SLB
Somalia,706,Muqdisho (Mogadishu),60,Capital,22477,2.041636,45.343492,2013.926,SOM
South Africa,710,Bloemfontein,,Judiciary Capital,22479,-29.12106,26.214,495.998,ZAF
South Africa,710,Cape Town,,Legislative Capital,22481,-33.92584,18.42322,3623.556,ZAF
South Africa,710,Pretoria,,Administrative Capital,22501,-25.74486,28.18783,1990.69,ZAF
South Sudan,728,Juba,,Capital,22577,4.85165,31.58247,306.569,SSD
Spain,724,Madrid,,Capital,22549,40.4165,-3.70256,6132.672,ESP
Sri Lanka,144,Colombo,,Capital,20414,6.93194,79.84778,704.227,LKA
Sri Lanka,144,Sri Jayewardenepura Kotte,,Legislative Capital,20418,6.90278,79.90833,127.534,LKA
State of Palestine,275,Ramallah,,Capital,21016,31.90256,35.19555,83.046,
Sudan,729,Al-Khartum (Khartoum),,Capital,22579,15.55177,32.53241,4999.787,SDN
Suriname,740,Paramaribo,61,Capital,22587,5.86638,-55.16682,234.483,SUR
Swaziland,748,Mbabane,62,Capital,22588,-26.31667,31.13333,65.99,SWZ
Sweden,752,Stockholm,63,Capital,22597,59.33258,18.0649,1463.748,SWE
Switzerland,756,Bern,,Capital,22601,46.94809,7.44744,357.609,CHE
Syrian Arab Republic,760,Dimashq (Damascus),64,Capital,22610,33.508586,36.308444,2573.845,
Tajikistan,762,Dushanbe,,Capital,22615,38.53575,68.77905,800.745,TJK
TFYR Macedonia,807,Skopje,,Capital,22802,42,21.43333,501.303,
Thailand,764,Krung Thep (Bangkok),,Capital,22617,13.721964,100.525248,9097.872,THA
Timor-Leste,626,Dili,,Capital,22172,-8.560095,125.566848,228.136,TLS
Togo,768,LomÃ©,,Capital,22628,6.13748,1.21227,929.52,TGO
Tokelau,772,Tokelau,65,Others,22629,-9.38,-171.25,â€_,TKL
Tonga,776,Nuku'alofa,,Capital,22630,-21.139441,-175.203246,24.998,TON
Trinidad and Tobago,780,Port of Spain,,Capital,22631,10.66617,-61.51657,34.387,TTO
Tunisia,788,Tunis,66,Capital,22646,36.81897,10.16579,1978.066,TUN
Turkey,792,Ankara,67,Capital,22656,39.91987,32.85427,4643.663,TUR
Turkmenistan,795,Ashgabat,,Capital,22739,37.95,58.38333,735.482,TKM
Turks and Caicos Islands,796,Cockburn Town,68,Capital,22742,21.46122,-71.14188,5.055,TCA
Tuvalu,798,Funafuti,,Capital,22743,-8.518892,179.199098,5.816,TUV
Uganda,800,Kampala,,Capital,22744,0.31628,32.58219,1862.764,UGA
Ukraine,804,Kyiv (Kiev),,Capital,22765,50.445368,30.518634,2916.588,UKR
United Arab Emirates,784,Abu Zaby (Abu Dhabi),,Capital,22632,24.464778,54.361781,1113.895,ARE
United Kingdom,826,London,69,Capital,22860,51.50853,-0.12574,10189.315,GBR
United Republic of Tanzania,834,Dodoma,,Capital,22895,-6.17221,35.73947,227.762,
United States of America,840,"Washington, D.C.",,Capital,23174,38.89511,-77.03637,4895.968,
United States Virgin Islands,850,Charlotte Amalie,,Capital,23190,18.3419,-64.9307,51.636,
Uruguay,858,Montevideo,70,Capital,23193,-34.83346,-56.16735,1697.731,URY
Uzbekistan,860,Tashkent,,Capital,23209,41.26465,69.21627,2241.461,UZB
Vanuatu,548,Port Vila,,Capital,21956,-17.73381,168.32188,52.542,VUT
Venezuela (Bolivarian Republic of),862,Caracas,71,Capital,23217,10.48801,-66.87919,2912.065,
Viet Nam,704,HÃ  Noi,72,Capital,22457,21.0245,105.84117,3469.706,
Wallis and Futuna Islands,876,Matu-Utu,,Capital,23235,-13.28163,-176.17453,1.064,
Western Sahara,732,El AaiÃºn,,Capital,22571,27.153164,-13.201359,262.36,ESH
Yemen,887,Sana'a',73,Capital,23239,15.353115,44.20782,2833.199,YEM
Zambia,894,Lusaka,,Capital,23277,-15.413374,28.277148,2078.426,ZMB
Zimbabwe,716,Harare,,Capital,22513,-17.82935,31.05389,1494.66,ZWE
